,DBA,EPP,EWJ,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI
2007-06-15,2.0,-2.0,-2.0,2.0,-1.4943888585160379,-2.0,1.9999999999999998,-1.5056111414839628,2.0,-2.0,2.0,2.0
2007-06-22,2.0,-0.9005093966787437,-2.0,1.5710563605844643,0.44040967552640337,-2.0,1.9999999999999996,2.0,2.0,-2.0,-0.11095663943212417,-1.9999999999999998
2007-06-29,2.0,-0.995423814795707,-2.0,2.0,1.2407965294217465,-2.0,1.9999999999999996,2.0,1.9044284665646862,-2.0,-1.1498011811907258,-1.9999999999999998
2007-07-06,1.8652246969406439,-2.0,-2.0,2.0000000000000004,2.0,-2.0,1.9999999999999993,2.0000000000000004,-1.526913113599152,-1.3383115833414916,2.0,-2.0000000000000004
2007-07-13,2.0,-1.28621426532513,-2.0,1.5999017945639329,2.0,-2.0,1.9999999999999996,2.0,-1.3136875292388024,-2.0,2.0,-2.0000000000000004
2007-07-20,2.0,2.0,-2.0,-1.587716169585749,2.0,-2.0,2.000000000000001,2.0,-1.4122838304142522,-2.0,2.0,-2.0
2007-07-27,2.0,2.0,-1.859435714461013,-2.0000000000000004,2.0,-2.0,2.000000000000001,2.0,-1.1405642855389877,-2.0,2.0,-2.0
2007-08-03,2.0,1.9267595301641651,-2.0,-2.0,2.0,-2.0,2.0000000000000004,2.0,-0.9267595301641655,-2.0,2.0,-2.0
2007-08-10,2.0,-1.6269252171772866,-2.0,-2.0,2.0,-2.0,2.000000000000001,2.0,-1.373074782822714,-2.0,2.0,2.0
2007-08-17,2.0,-2.0,-2.0,-0.6329887494784205,-2.0,0.5596556155305918,-1.1371280596461064,2.0,-1.7895388064060653,2.0,2.0,2.0
2007-08-24,0.34870827990284425,1.9999999999999998,-2.0,-2.0,1.6642445771137766,-0.21612807492261124,-0.7968247820940092,2.0,-2.0,-2.0,2.0,2.0
2007-08-31,2.0,-0.10295088367986864,-2.0,-2.0000000000000004,2.0,-2.0,0.6978089562237082,2.0,-1.5948580725438395,-2.0,2.0,2.0
2007-09-07,-2.0,0.7698006803758718,-2.0,-2.0,2.0,2.0,0.2301993196241284,2.0,-2.0,-2.0,2.0,2.0
2007-09-14,-1.747242103289735,2.0000000000000004,-2.0,-2.0,2.0,2.0,-1.2527578967102646,2.0,-2.0,-2.0,2.0,2.0
2007-09-21,2.0,1.0885895463023294,-2.0,-2.0,-0.9469017912223803,2.0,1.0588226339317617,-0.20051038901171056,-2.0,-2.0,2.0,2.0
2007-09-28,2.0,1.9999999999999998,-2.0,-2.0,-0.14866524741154305,2.0,1.1486652474115433,-2.0,-2.0,-2.0,2.0,2.0
2007-10-05,0.852718314587846,2.0,-2.0,-2.0,-0.32616794843742103,2.0,0.15191677517578484,0.32153285867378995,-2.0,-2.0,2.0,2.0
2007-10-12,2.0,2.0,-2.0,-2.0000000000000004,-0.14478601195970436,2.0,1.1447860119597044,-2.0,-2.0,-2.0,2.0,2.0
2007-10-19,2.0,0.7363803181540968,-2.0,-2.0,0.16517529902861913,2.0,2.0000000000000004,-1.9015556171827164,-2.0,-2.0,2.0,2.0
2007-10-26,2.0,2.0,-2.0,-2.0,-0.13934375619291428,2.0,1.1393437561929143,-2.0,-2.0,-2.0,2.0,2.0
2007-11-02,2.0,2.0000000000000004,-2.0,-2.0,1.8604382243807418,2.0,2.0000000000000004,-2.0,-2.0,-2.0,2.0,-0.8604382243807424
2007-11-09,2.0,1.85923794374506,-2.0,-2.0,2.0,2.0,1.9999999999999998,-2.0,-1.8798115383621972,-2.0,2.0,-0.9794264053828627
2007-11-16,2.0,1.5015324641138863,-2.0,-2.0000000000000004,2.0,2.0,1.9999999999999998,-2.0,-2.0,-2.0,2.0,-0.5015324641138856
2007-11-23,2.0,0.3081059189071981,-2.0,0.6918940810928021,2.0,2.0,2.0000000000000004,-2.0000000000000004,-2.0,-2.0,2.0,-2.0
2007-11-30,2.0,0.9535519092203657,-2.0,0.04644809077963464,2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,-2.0
2007-12-07,2.0,-1.041795510590458,-2.0,2.0,0.1748820000922408,2.0,1.9999999999999993,-2.0,-2.0,-2.0,2.0,-0.1330864895017823
2007-12-14,2.0,-0.3190927069451567,-2.0,1.0595410629444204,1.0532594497729546,2.0,2.0,-1.9999999999999998,-2.0,-2.0,2.0,-0.7937078057722183
2007-12-21,2.0,-1.9999999999999998,-2.0,1.1941258311836211,-0.19412583118362167,2.0,1.9999999999999996,-1.9999999999999998,-2.0,-2.0,2.0,2.0
2007-12-28,2.0,-1.9999999999999998,-2.0,0.8328591006372245,0.1671408993627762,2.0,2.0,-2.0,-2.0,-2.0,2.0,2.0
2008-01-04,2.0,-0.8462687805286234,-2.0,2.0,1.846268780528624,2.0,1.9999999999999998,-2.0,-2.0,-2.0,2.0,-2.0
2008-01-11,2.0,-2.0,-2.0,2.0,-0.1924015108459037,2.0,1.9999999999999998,-2.0,-2.0,-2.0,2.0,1.192401510845904
2008-01-18,2.0,-2.0,-2.0,1.5565073975774035,-0.5565073975774024,2.0,1.9999999999999996,-2.0,-2.0,-2.0,2.0,2.0
