,DBA,EPP,EWJ,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI
2007-06-15,2.0,-2.0,-2.0,-0.7343584902030365,-2.0,-2.0,2.0,2.0,1.7343584902030367,2.0,2.0,-2.0
2007-06-22,2.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,-0.8683544512740023,1.8683544512740025,-2.0
2007-06-29,2.0,2.0,-2.0,-0.748819195922804,-2.0,-2.0,1.9999999999999998,2.0,1.7488191959228043,-2.0,2.0,-2.0
2007-07-06,2.0,2.0,-2.0,-0.545953167628954,-2.0,-2.0,2.0,2.0,1.545953167628954,-2.0,2.0,-2.0
2007-07-13,2.0,2.0,-2.0,-0.8987752845316382,1.8987752845316386,-2.0,2.0000000000000004,2.0,-2.0,-2.0,2.0,-2.0000000000000004
2007-07-20,2.0,2.0,-2.0,-0.9927985379097324,1.9927985379097324,-2.0,2.0,2.0,-2.0,-2.0,2.0,-2.0
2007-07-27,-2.0,2.0,-2.0,-2.0,2.0,2.0,1.0388916132561923,2.0,-0.03889161325619257,-2.0,2.0,-2.0
2007-08-03,-0.7127489901830406,1.7127489901830404,-2.0,-2.0,2.0,-2.0,2.0,2.0,2.0,-2.0,2.0,-2.0
2007-08-10,-2.0,-2.0,-2.0,-2.0,2.0,2.0,1.639590101563962,2.0,-0.6395901015639615,-2.0,2.0,2.0
2007-08-17,-2.0,-2.0,-2.0,0.3892835220544986,0.6107164779455015,2.0,-1.9999999999999998,2.0,-2.0,2.0,2.0,2.0
2007-08-24,1.6388011934168927,2.0,-2.0,-2.0,-0.6719405204332942,2.0,-0.8962899598792999,2.0,-2.0,-2.0,0.9294292868957023,2.0
2007-08-31,2.0,2.0,-2.0,-2.0,-1.9259636211726192,2.0,-1.074036378827381,2.0,-2.0,-2.0,2.0,2.0
2007-09-07,-2.0,2.0,-2.0,-2.0,-2.0,2.0,-0.8592937171311471,2.0,1.8592937171311474,-2.0,2.0,2.0
2007-09-14,2.0,2.0,-2.0,-1.9999999999999998,0.4137807948584959,2.0,0.5862192051415042,-2.0,-2.0,-2.0,2.0,2.0
2007-09-21,2.0,0.28743332562289503,-2.0,-2.0,0.7125666743771054,2.0,1.9999999999999996,-2.0,-2.0,-2.0,2.0,2.0
2007-09-28,2.0,1.9999999999999998,-2.0,-2.0,0.012718896165128814,2.0,0.9872811038348716,-2.0,-2.0,-2.0,2.0,2.0
2007-10-05,2.0,2.0000000000000004,-2.0,-2.0000000000000004,0.051397360249714356,2.0,0.9486026397502859,-2.0,-2.0,-2.0,2.0,2.0
2007-10-12,2.0,2.0,-2.0,-2.0,2.0,2.0,1.660329160461453,-2.0,-2.0,-2.0,2.0,-0.6603291604614527
2007-10-19,2.0,2.0000000000000004,-2.0,-2.0,2.0,2.0,1.8880941657541055,-2.0000000000000004,-2.0,-2.0,2.0,-0.8880941657541052
2007-10-26,2.0,2.0000000000000004,-2.0,-2.0,1.6935433257221457,2.0,2.0000000000000004,-0.6935433257221455,-2.0,-2.0,2.0,-2.0
2007-11-02,2.0,2.0,-2.0,-2.0000000000000004,2.0,2.0,2.0,-1.8782473984332648,-1.1217526015667356,-2.0,2.0,-2.0
2007-11-09,2.0,0.09828370324506608,-2.0,0.9017162967549339,2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,-2.0
2007-11-16,1.8436261511212364,0.3459209416160641,-2.0,-2.0,2.0,2.0,1.9999999999999996,-2.0,-2.0,-2.0,2.0,0.8104529072626998
2007-11-23,2.0,-1.4970881098612008,-2.0,2.0,2.0,2.0,1.9999999999999998,-2.0,-2.0,-2.0,2.0,-1.5029118901387986
2007-11-30,2.0,-0.9619630415275746,-2.0,2.0,1.961963041527575,2.0,2.0,-2.0,-2.0,-2.0,2.0,-2.0
2007-12-07,2.0,-2.0,-2.0,2.0,-0.11058690188286253,2.0,1.9999999999999998,-2.0,-2.0,-2.0,2.0,1.1105869018828627
2007-12-14,2.0,-0.7739166877820074,-2.0,2.0,1.773916687782008,2.0,1.9999999999999996,-2.0,-2.0,-2.0,2.0,-2.0
2007-12-21,2.0,-1.9999999999999998,-2.0,0.8387370380596578,0.16126296194034162,2.0,1.9999999999999998,-2.0,-2.0,-2.0,2.0,2.0
2007-12-28,2.0,-2.0000000000000004,-2.0,0.9368570760596207,0.06314292394037946,2.0,1.9999999999999998,-2.0,-2.0,-2.0,2.0,2.0
2008-01-04,2.0,-1.9999999999999998,-2.0,2.0,0.11287597982927493,2.0,2.000000000000001,-2.0,-2.0,-2.0,2.0,0.8871240201707249
2008-01-11,2.0,-2.0,-2.0,2.0,1.271044152204867,2.0,2.0000000000000004,-2.0,-2.0,-2.0,-0.2710441522048668,2.0
2008-01-18,2.0,-2.0000000000000004,-2.0,2.0000000000000004,2.0,2.0,1.9999999999999996,-2.0,-1.8230692833481816,-1.176930716651818,-2.0,2.0
2008-01-25,2.0,-0.988104977339145,-2.0,-2.0,-1.9810672076674614,2.0,2.0000000000000004,-1.9999999999999998,2.0,2.0,-2.0,1.9691721850066053
2008-02-01,2.0,0.30901573742791927,-2.0,-2.0,0.6909842625720803,2.0,2.0000000000000004,-2.0,-2.0,2.0,2.0,-2.0
2008-02-08,2.0,2.0000000000000004,-2.0,-2.0,0.017002216850842602,2.0,1.9999999999999998,-2.0,-1.2739549381020079,0.2569527212511651,2.0,-2.0
2008-02-15,2.0,2.0,-2.0,-2.0,-0.3461208326933652,2.0,2.0,-2.0,-2.0,1.3461208326933651,2.0,-2.0
2008-02-22,2.0,2.0,-2.0,-1.9999999999999998,0.009371892399077385,2.0,2.0,-2.0,-2.0,0.9906281076009228,2.0,-2.0
2008-02-29,2.0,2.0,-2.0,-2.0,-0.21177918909822913,2.0,2.0,-2.0,-2.0,1.2117791890982292,2.0,-2.0
2008-03-07,2.0,1.9999999999999998,-2.0,-2.0,1.0522514789400124,2.0,2.0000000000000004,-2.0,-2.0,-0.052251478940012176,2.0,-2.0
