,DBA,EPP,EWJ,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI
2007-06-15,-0.2538080899495897,2.0000000000000004,-2.0,-0.058601501243753684,2.0,-2.0,1.9999999999999998,0.12887201246545815,2.0,-2.0,1.183537578727885,-2.0
2007-06-22,0.014725269712503123,2.0,-2.0,1.7501760195765117,2.0,-2.0,2.0000000000000004,-2.0,2.0,-2.0,1.235098710710985,-2.0
2007-06-29,-0.6630369424376215,2.0,-2.0,2.0000000000000004,2.0,-2.0,1.9999999999999998,-1.8751294809313597,2.0,-2.0,1.5381664233689816,-2.0
2007-07-06,-1.0542557787548925,2.0,-2.0,0.5823282155315954,2.0,-2.0,1.9999999999999998,-0.11176502571159355,1.7675144619651966,-2.0,1.8161781269696942,-2.0
2007-07-13,2.0,2.0,-2.0,0.9332045833625705,2.0,-2.0,2.0,-0.5037002945642383,-1.4295042887983327,-2.0,2.0,-2.0
2007-07-20,1.0961591153956072,2.0,-2.0,-1.116038949378455,2.0,-2.0,1.9999999999999993,2.0,-0.9801201660171515,-2.0,2.0,-1.9999999999999998
2007-07-27,0.9113771679610427,0.23349648666050743,-2.0,-2.0,2.0,-2.0,2.0,2.0,-0.4949150545110078,-2.0,2.0,0.3500413998894576
2007-08-03,0.756481847426414,-0.19573222120072403,-2.0,-0.8814011849754041,2.0,-2.0,2.0000000000000004,2.0,-0.895920885138927,-2.0,2.0,0.2165724438886408
2007-08-10,1.9434341166191844,-2.0,-2.0,0.10009583523826968,2.0,-2.0,2.0,2.0,-0.2730670577848298,-2.0,-0.770462894072624,2.0
2007-08-17,-0.24912503710461237,-2.0,-2.0,-2.0,-0.7146047814778819,-2.0,0.19769260184157939,2.0,2.0,1.766037216740916,2.0,2.0
2007-08-24,2.0,-0.8256803186366385,-2.0,-2.0,-2.0,-2.0,1.9999999999999993,2.0,2.0,-2.0,1.8256803186366395,2.0
2007-08-31,2.0,-0.42281972453720945,-2.0,-2.0,-2.0,-2.0,2.0,2.0,1.6310316097568254,-2.0,2.0,1.791788114780385
2007-09-07,2.0,-0.9255221382232501,-2.0,-2.0000000000000004,-2.0,-0.16033955624628318,2.0,2.0,0.08586169446953437,-2.0,2.0,2.0
2007-09-14,2.0,-0.22479808166073648,-2.0,-2.0000000000000004,1.6107623644474307,-0.6131263974105258,2.0,0.974378712367201,-2.0,-2.0,2.0,1.252783402256631
2007-09-21,2.0,-0.07696751091308003,-2.0,-2.0,-0.5273325731573637,2.0,2.0000000000000004,0.6103475752950847,-2.0,-2.0,2.0,0.9939525087753589
2007-09-28,2.0,1.653758275701005,-2.0,-2.0,0.8773639162393038,2.0,1.3053983987042104,-0.5811747081301826,-2.0,-2.0,2.0,-0.25534588251433604
2007-10-05,2.0,2.0000000000000004,-2.0,-2.0,0.051436052242012725,2.0,0.9485639477579874,-2.0,-2.0,-2.0,2.0,2.0
2007-10-12,1.131361657772664,2.0000000000000004,-2.0,-1.9999999999999998,0.9689771339114733,2.0,0.8996612083158624,-2.0000000000000004,-2.0,-2.0,2.0,2.0
2007-10-19,0.20138395930866612,1.1322805443190465,-2.0,-2.0,1.771674022205689,2.0,1.4651668384338932,-1.5705053642672948,-2.0,-2.0,2.0,2.0
2007-10-26,0.1135636205037296,2.0000000000000004,-2.0,-2.0,1.2804554109638895,2.0,0.5997712206866619,-0.9937902521542814,-2.0,-2.0,2.0,2.0
2007-11-02,0.31585468619559554,-0.66831827249628,-2.0,-2.0000000000000004,1.3758107492194258,2.0,1.6144033781440092,0.3622494589372498,-2.0,-2.0,2.0,2.0
2007-11-09,2.0,0.3806693465635741,-2.0,-2.0,0.9848442091244655,2.0,1.6344864443119602,-2.0,-2.0,-2.0,2.0,2.0
2007-11-16,0.8273683057054194,0.5006306923348787,-2.0,-2.0,2.0,2.0,1.672001001959702,-1.9999999999999998,-2.0,-2.0,2.0,2.0
2007-11-23,2.0,-0.5997921682217957,-2.0,-2.0,1.6742704276326255,2.0,1.9255217405891705,-2.0,-2.0,-2.0,2.0,2.0
2007-11-30,2.0,0.4603213974459892,-2.0,-2.0,0.5396786025540106,2.0,2.0000000000000004,-2.0,-2.0,-2.0,2.0,2.0
2007-12-07,2.0,0.46122050394588004,-2.0,-1.73938581552655,0.2781653115806708,2.0,1.9999999999999998,-2.0,-2.0,-2.0,2.0,2.0
2007-12-14,2.0,1.0141132504161214,-2.0,-2.0,0.35244677541853636,2.0,1.633439974165343,-2.0,-2.0,-2.0,2.0,2.0
2007-12-21,2.0,0.13464582613982423,-2.0,-1.477795592335521,0.3431497661956971,2.0,1.9999999999999998,-2.0,-2.0,-2.0,2.0,2.0
2007-12-28,2.0,1.3885703241038427,-2.0,-0.3885703241038424,2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,-2.0
2008-01-04,2.0,1.0404915376912864,-2.0,-0.16261759998394168,1.159857872240703,2.0,1.9999999999999993,-2.0,-2.0,-2.0,2.0,-1.0377318099480464
2008-01-11,2.0,1.936276167744622,-2.0,-1.408152137826182,0.18206556867237658,2.0,1.9999999999999998,-2.0,-2.0,-2.0,2.0,0.2898104014091838
2008-01-18,2.0,-0.9659919945632566,-2.0,0.9278919105537677,-0.9618999159905116,2.0,1.9999999999999998,-1.9999999999999998,-2.0,-2.0,2.0,2.0
2008-01-25,2.0,2.0000000000000004,-2.0,-0.774845538860286,0.33520429243462424,2.0,2.000000000000001,-2.0,-2.0,-2.0,2.0,-0.5603587535743395
2008-02-01,2.0,2.0,-2.0,-1.3356856660272522,0.5202783770595619,2.0,2.0,-2.0,-2.0,-2.0,2.0,-0.18459271103230887
2008-02-08,2.0,2.0000000000000004,-2.0,-1.9586172682438832,-0.3883194758929312,2.0,2.0,-2.0000000000000004,-2.0,-2.0,2.0,1.346936744136814
2008-02-15,2.0,1.134259376914084,-2.0,-0.296517792546584,-0.9662941627140849,2.0,1.9999999999999998,-2.0,-2.0,-0.1358159084847946,2.0,-0.7356315131686203
2008-02-22,2.0,-0.09363234719076723,-2.0,0.11721116171470738,-0.29866554396486555,2.0,2.0,-2.0000000000000004,-2.0,1.2750867294409258,2.0,-2.0
2008-02-29,2.0,1.4784112773779392,-2.0,0.5223486067161984,-0.04720981024700247,2.0,2.0000000000000004,-1.9999999999999998,-2.0,-0.9535500738471355,2.0,-2.0
2008-03-07,2.0,0.7646469216467571,-2.0,0.26688985979639124,1.0695369955729965,2.0,2.0000000000000004,-2.0,-2.0,-1.1010737770161445,2.0,-2.0
2008-03-14,2.0,-1.4739879859543428,-2.0,0.4059782255498452,0.44203978496969554,2.0,2.0000000000000004,-2.0,-2.0,1.6259699754348014,2.0,-2.0
2008-03-21,2.0,-1.4386043115200111,-2.0,-0.12049206735562111,0.5590963788756323,2.0,1.9999999999999998,-2.0,-2.0,2.0,2.0,-2.0
2008-03-28,2.0,-1.9999999999999998,0.14243108394284348,-0.5081275735451761,-0.7881291196524651,2.0,2.0,-1.9999999999999998,-2.0,2.0,2.0,-1.8461743907452028
2008-04-04,2.0,-0.1860354063334742,-0.06251226645276295,-2.0,0.22016410108748904,1.9868160703610749,2.0000000000000004,-2.0,-2.0,2.0,1.041567501337673,-2.0000000000000004
2008-04-11,2.0,-1.251453134935886,-1.7051400966733008,-1.6131396739804167,-0.3419985508038877,2.0,1.999999999999999,-2.0,-2.0,2.0,2.0,-0.08826854360650832
2008-04-18,2.0,-0.4301453022120194,-1.3453060768255112,-2.0,-0.31052374267301536,2.0,1.9999999999999998,-2.0000000000000004,-2.0,2.0,2.0,-0.9140248782894541
2008-04-25,2.0,0.46962873486191203,-0.2423516898796443,-2.0,0.29898163430447455,1.0058625884354109,2.0,-1.9999999999999998,-2.0,-0.3818319158839268,2.0,-0.15028935183822664
2008-05-02,1.6824367887057534,2.0,2.0,-2.0,1.6823647842334133,-0.6329684728803644,2.0000000000000004,-1.7318331000588032,-2.0,-2.0,2.0,-2.0
2008-05-09,2.0,1.355945677716706,2.0,-2.0,0.9885700328402194,-0.5394501897695735,2.0,-2.0,-2.0,-1.5566539993818758,2.0,-1.2484115214054756
2008-05-16,0.8339485136112089,-0.07213744621665522,2.0,-2.0,1.6123155219567142,-1.3741265893512677,2.0,2.0,-2.0,-2.0,2.0,-2.0
2008-05-23,-0.8633884478946499,0.13476461749784419,2.0,-2.0,2.0,-0.2713761696031938,2.0,2.0000000000000004,-2.0,-2.0,2.0,-2.0
2008-05-30,-1.3114228842750801,1.2651574518599693,1.719155527581676,-2.0,2.0,-0.6728900951665648,2.0,1.9999999999999996,-2.0,-2.0,2.0,-2.0
2008-06-06,0.3555231599907858,-2.0,2.0,-2.0,2.0,-2.0,2.0,2.0,-2.0,-2.0,2.0,0.6444768400092141
2008-06-13,0.8024700418106021,-2.0,1.9761699330916787,-2.0,2.0,-2.0,2.0,2.0,-2.0,-2.0,2.0,0.2213600250977189
2008-06-20,-0.03397431179413471,-2.0,2.0,-2.0,2.0,-2.0,2.0,2.0000000000000004,-2.0,-2.0,2.0000000000000004,1.0339743117941342
2008-06-27,0.6791268606525062,-2.0,0.3208731393474935,-2.0,2.0,-2.0,2.0,2.0,-2.0,-2.0,1.9999999999999998,2.0
