,DBA,EPP,EWJ,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI
2007-06-15,2.0,-2.0,-2.0,2.0,-1.4943888585160379,-2.0,1.9999999999999998,-1.5056111414839628,2.0,-2.0,2.0,2.0
2007-06-22,2.0,-0.9005093966787437,-2.0,1.5710563605844643,0.44040967552640337,-2.0,1.9999999999999996,2.0,2.0,-2.0,-0.11095663943212417,-1.9999999999999998
2007-06-29,2.0,-0.995423814795707,-2.0,2.0,1.2407965294217465,-2.0,1.9999999999999996,2.0,1.9044284665646862,-2.0,-1.1498011811907258,-1.9999999999999998
2007-07-06,1.8652246969406439,-2.0,-2.0,2.0000000000000004,2.0,-2.0,1.9999999999999993,2.0000000000000004,-1.526913113599152,-1.3383115833414916,2.0,-2.0000000000000004
2007-07-13,2.0,-1.389939788926359,-2.0,1.7865795387242203,2.0,-2.0,2.0,2.0,-1.3966397497978607,-2.0,2.0,-2.0000000000000004
2007-07-20,2.0,2.0,-2.0,-1.6214314137227497,2.0,-2.0,2.0000000000000004,2.0,-1.3785685862772508,-1.9999999999999998,2.0,-2.0
2007-07-27,2.0,2.0000000000000004,-2.0,-2.0,2.0,-2.0,2.0,2.0,-0.9999999999999997,-2.0000000000000004,2.0,-1.9999999999999998
2007-08-03,2.0,1.710679498256578,-2.0,-2.0000000000000004,2.0,-2.0,1.9999999999999996,2.0,-0.7106794982565762,-2.0000000000000004,2.0,-2.0000000000000004
2007-08-10,2.0,-1.5357506894264552,-2.0,-2.0,2.0,-2.0,2.0000000000000004,2.0,-1.4642493105735448,-2.0,2.0,2.0
2007-08-17,2.0,-2.0,-2.0,0.5462493766204146,-2.0,1.6486302939804394,-0.5597125484819404,2.0,-2.0,-0.6351671221189141,2.0,2.0
2007-08-24,0.34962966585329097,2.0,-2.0,-2.0,1.4270323877879618,0.11964463569153336,-0.896306689332786,2.0,-2.0,-2.0,2.0,2.0
2007-08-31,2.0,-0.1295665373452886,-2.0,-2.0,2.0,-2.0,0.8421242591185565,2.0,-1.7125577217732681,-2.0,2.0,2.0
2007-09-07,-2.0,1.0328530247576042,-2.0,-2.0,2.0,2.0,-0.032853024757603634,2.0,-2.0,-2.0,2.0,2.0
2007-09-14,-1.6867688784927768,2.0,-2.0,-2.0,2.0,2.0,-1.3132311215072228,2.0,-2.0,-2.0,2.0,2.0
2007-09-21,2.0,1.1024252600611364,-2.0,-2.0,-0.44631836886481735,2.0,1.1306007186896867,-0.7867076098860062,-2.0,-1.9999999999999998,2.0,2.0
2007-09-28,2.0,2.0000000000000004,-2.0,-2.0,-0.01527833742837136,2.0,1.015278337428371,-2.0,-2.0,-2.0,2.0,2.0
2007-10-05,0.825515092981088,2.0000000000000004,-2.0,-2.0,0.059682908001776336,2.0,0.15689041933295333,-0.042088420315817957,-2.0,-2.0,2.0,2.0
2007-10-12,2.0,2.0,-2.0,-2.0000000000000004,0.038341486627969414,2.0,0.9616585133720313,-2.0,-2.0,-2.0,2.0,2.0
2007-10-19,2.0,0.5975908793012468,-2.0,-2.0,0.4024091206987537,2.0,1.9999999999999998,-2.0,-2.0,-2.0000000000000004,2.0,2.0
2007-10-26,2.0,2.0,-2.0,-2.0,0.007063828382761552,2.0,0.9929361716172389,-2.0,-2.0,-2.0000000000000004,2.0,2.0
2007-11-02,2.0,2.0,-2.0,-2.0,1.9695007436329834,2.0,2.0,-1.552924779262379,-2.0,-2.0,2.0,-1.4165759643706042
2007-11-09,2.0,2.0000000000000004,-2.0,-2.0,2.0,2.0,2.0,-2.0,-1.969654566249446,-2.0,2.0,-1.030345433750554
2007-11-16,2.0,2.0000000000000004,-2.0,-1.9999999999999998,2.0,2.0,1.9999999999999996,-2.0,-1.8705771574778949,-2.0,2.0,-1.129422842522105
2007-11-23,2.0,0.9050169732443849,-2.0,0.09498302675561487,2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,-2.0
2007-11-30,2.0,1.613130518544321,-2.0,-0.613130518544321,2.0,2.0,1.9999999999999998,-2.0,-2.0,-2.0,2.0,-2.0
2007-12-07,2.0,-0.4405896038621092,-2.0,2.0,0.9203740194808361,2.0,2.0000000000000004,-2.0,-2.0,-2.0,2.0,-1.4797844156187279
2007-12-14,2.0,0.16722694807014962,-2.0,0.8925458631370636,1.1475124908046943,2.0,2.0000000000000004,-2.0,-2.0,-2.0,2.0,-1.207285302011908
2007-12-21,2.0,-2.0,-2.0,0.8757333507853026,0.12426664921469704,2.0,2.0000000000000004,-2.0,-2.0,-2.0,2.0,2.0
2007-12-28,2.0,-2.0,-2.0,0.7286708991822152,0.5656977893110493,2.0,2.0000000000000004,-2.0,-2.0,-2.0,2.0,1.705631311506735
2008-01-04,2.0,-0.9958981533354052,-2.0,2.0000000000000004,1.9958981533354052,2.0,1.9999999999999991,-2.0,-2.0,-2.0,2.0,-2.0
2008-01-11,2.0,-2.0000000000000004,-2.0,2.0000000000000004,0.6501095383428128,2.0,2.0,-2.0000000000000004,-2.0,-2.0,2.0,0.34989046165718724
2008-01-18,2.0,-1.9999999999999998,-2.0,0.9254262557783995,0.07457374422160022,2.0,2.0,-2.0,-2.0,-2.0,2.0,2.0
