,DBA,EPP,EWJ,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI
2007-06-15,2.0,-2.0,-2.0,-0.6102878768531088,-2.0,-2.0,2.0,2.0000000000000004,1.6102878768531081,2.0,2.0,-2.0
2007-06-22,2.0,2.0000000000000004,-2.0,-2.0,-1.8185455000790853,-2.0,1.9999999999999996,2.0,2.0,-1.1814544999209144,2.0,-2.0
2007-06-29,2.0,2.0,-2.0,-1.2935268550345154,-1.706473144965484,-2.0,1.9999999999999998,2.0,2.0,-2.0,2.0,-2.0000000000000004
2007-07-06,2.0,2.0,-2.0,-1.2805892762845137,2.0,-2.0,1.9999999999999993,2.0,-1.7194107237154854,-2.0,2.0,-2.0
2007-07-13,2.0,2.0,-2.0,-1.3731942719700387,2.0,-2.0,1.9999999999999996,2.0,-1.6268057280299608,-2.0,2.0,-2.0
2007-07-20,2.0,2.0000000000000004,-2.0,-1.389860120551755,2.0,-1.6101398794482449,2.0000000000000004,2.0,-2.0,-2.0,2.0,-2.0
2007-07-27,-2.0,2.0,-2.0,-1.9999999999999998,2.0,2.0,1.2322963210290714,2.0,-0.2322963210290711,-2.0,2.0,-2.0
2007-08-03,-0.6575858705399323,1.6575858705399331,-2.0,-2.0000000000000004,2.0,-2.0,1.9999999999999998,2.0,2.0,-2.0,2.0,-2.0
2007-08-10,-2.0,-2.0,-2.0,-2.0,2.0,2.0,1.4918421411499165,2.0,-0.49184214114991626,-2.0,2.0,2.0
2007-08-17,-2.0,-2.0,-2.0,0.2175146191620089,0.7824853808379911,2.0,-2.0000000000000004,2.0,-2.0,2.0,2.0,2.0
2007-08-24,0.49269347046960627,2.0,-2.0,-2.0,-0.5142560342626034,2.0,-0.9784374362070032,2.0,-2.0,-2.0,2.0,2.0
2007-08-31,2.0,2.0,-2.0,-2.0,-1.9130346737656772,2.0,-1.086965326234323,2.0,-2.0,-2.0,2.0,2.0
2007-09-07,-2.0,2.0,-2.0,-2.0,-1.9204937721381758,2.0,-1.079506227861824,2.0,2.0,-2.0,2.0,2.0
2007-09-14,2.0,2.0,-2.0,-2.0,0.3611190234326157,2.0,0.6388809765673842,-2.0,-2.0,-2.0,2.0,2.0
2007-09-21,2.0,0.3335731263014661,-2.0,-2.0000000000000004,0.6664268736985348,2.0,2.0,-2.0,-2.0,-2.0,2.0,2.0
2007-09-28,2.0,2.0000000000000004,-2.0,-2.0000000000000004,-0.2156600299311111,2.0,1.215660029931111,-2.0,-2.0,-2.0,2.0,2.0
2007-10-05,2.0,2.0,-2.0,-2.0,-0.1723470244306658,2.0,1.1723470244306657,-2.0,-2.0,-2.0,2.0,2.0
2007-10-12,2.0,2.0,-2.0,-2.0,1.889860899309297,2.0,1.9999999999999996,-2.0,-2.0,-2.0,2.0,-0.8898608993092963
2007-10-19,2.0,2.0,-2.0,-1.9999999999999998,2.0,2.0,2.0,-1.7434426504576372,-2.0,-2.0,2.0,-1.2565573495423628
2007-10-26,2.0,2.0,-2.0,-2.0,2.0,2.0,1.906016288587737,-2.0,-2.0,-2.0,2.0,-0.9060162885877366
2007-11-02,2.0,2.0,-2.0,-2.0000000000000004,2.0,2.0,1.807933759290138,-2.0,-0.8079337592901382,-2.0,2.0,-2.0
2007-11-09,2.0,-0.17167043713383656,-2.0,1.1716704371338367,2.0,2.0,1.9999999999999996,-2.0,-2.0,-2.0,2.0,-2.0
2007-11-16,2.0,0.8853666317948243,-2.0,-2.0,2.0,2.0,2.0000000000000004,-2.0,-2.0,-2.0,2.0,0.11463336820517558
2007-11-23,2.0,-1.3476393942976437,-2.0,2.0,2.0,2.0,2.0,-2.0000000000000004,-2.0,-2.0,2.0,-1.6523606057023554
2007-11-30,2.0,-0.931762268889658,-2.0,1.9999999999999998,1.931762268889658,2.0,2.0000000000000004,-2.0,-2.0,-2.0,2.0,-2.0
2007-12-07,2.0,-2.0,-2.0,2.0,0.25615494517698695,2.0,2.0,-2.0,-2.0,-2.0,2.0,0.7438450548230127
2007-12-14,2.0,-0.6885663224495205,-2.0,2.0,1.6885663224495207,2.0,2.0000000000000004,-2.0,-2.0,-2.0,2.0,-2.0
2007-12-21,2.0,-2.0000000000000004,-2.0,1.1686140481066305,-0.16861404810663067,2.0,2.0,-2.0,-2.0,-2.0,2.0,2.0
2007-12-28,2.0,-2.0000000000000004,-2.0,1.0434702845526016,-0.04347028455260008,2.0,1.9999999999999996,-2.0,-2.0,-2.0,2.0,2.0
2008-01-04,2.0,-0.9842531604402808,-2.0,2.0,1.4207411704393402,2.0,2.0,-1.9999999999999998,-2.0,-2.0,2.0,-1.4364880099990591
2008-01-11,2.0,-2.0,-2.0,1.8682121160414549,1.0511196353511472,2.0,1.9999999999999998,-2.0,-2.0,-2.0,0.08066824860739802,2.0
2008-01-18,2.0,-1.7944837863615113,-2.0,2.0,2.0,2.0,1.9999999999999993,-1.9999999999999998,-1.2055162136384874,-2.0,-2.0,2.0
2008-01-25,2.0,-1.0411028019449478,-2.0,-2.0,-0.4577328095233051,2.0,2.0000000000000004,-2.0,2.0,2.0,-2.0,0.4988356114682524
2008-02-01,2.0,-0.10843867463104323,-2.0,-2.0,1.4286712064118774,2.0,2.0,-2.0,-2.0,1.679767468219166,2.0,-2.0
2008-02-08,2.0,1.9999999999999998,-2.0,-2.0,-2.0,2.0,1.9999999999999998,-2.0,2.0,-0.5803661458954272,1.5803661458954275,-2.0
2008-02-15,2.0,2.0,-2.0,-2.0,0.9423615393244386,2.0,2.0000000000000004,-2.0,-2.0,0.05763846067556116,2.0,-2.0
2008-02-22,2.0,2.0000000000000004,-2.0,-2.0,0.8287343422080474,2.0,2.0,-2.0,-2.0,0.17126565779195224,2.0,-2.0
2008-02-29,2.0,2.0,-1.3877283565131675,-2.0000000000000004,0.6154253980251189,2.0,1.9999999999999996,-2.0,-2.0,-0.2276970415119509,2.0,-2.0
2008-03-07,2.0,2.0,-2.0,-2.0,1.401315301622028,2.0,2.0000000000000004,-1.9999999999999998,-2.0,-0.4013153016220277,2.0,-2.0
2008-03-14,2.0,2.0,0.4442352604709078,-2.0,0.5557647395290928,2.0,1.9999999999999993,-2.0,-2.0,-2.0,2.0,-2.0
2008-03-21,2.0,0.21822856637552945,-2.0,-2.0,2.0,0.7817714336244705,1.9999999999999998,-2.0,-2.0,2.0,2.0,-2.0
2008-03-28,2.0,-1.9999999999999998,-2.0,2.0,2.0,-0.27907693870629924,2.0,1.2790769387062992,-2.0,-2.0,2.0,-2.0
2008-04-04,-2.0,-2.0000000000000004,-0.07736519262987365,1.9999999999999998,2.0,1.077365192629873,2.0,2.0,-2.0,-2.0,2.0,-2.0
2008-04-11,2.0,-2.0,-2.0,2.0000000000000004,2.0,-1.1396343192445793,1.9999999999999998,2.0,-2.0,-2.0,2.0,-1.8603656807554207
2008-04-18,-2.0,-2.0,1.1069900127173153,2.0,2.0,-0.9405145058217035,2.0000000000000004,-2.0,-1.1664755068956123,-2.0,2.0,2.0
2008-04-25,-2.0,-2.0,-2.0,2.0,2.0,-2.0,0.6710496500595966,2.0,0.3289503499404034,-2.0,2.0,2.0
2008-05-02,-2.0,-2.0,2.0,1.8878864324816675,2.0,-2.0,-2.0,2.0,-0.8878864324816675,-2.0,2.0,2.0
2008-05-09,-2.0,1.3158402610635016,2.0,-2.0,2.0,-2.0,-2.0000000000000004,2.0000000000000004,-0.31584026106350094,-2.0,2.0,2.0
2008-05-16,-2.0,-1.2140385778968903,2.0,-2.0,2.0,-2.0,2.0,0.04363565434673549,0.1704029235501551,-2.0,2.0,2.0
2008-05-23,-2.0,2.0,1.9953439142626772,-2.0,2.0,-2.0,2.0,-0.4614092612343254,0.8288546595802445,-2.0,2.0,-1.362789312608596
2008-05-30,-2.0,-0.13665724696979162,-2.0,-2.0,2.0,-2.0,1.9999999999999996,1.9999999999999993,1.1366572469697922,-2.0,2.0,2.0
2008-06-06,-2.0,-2.0000000000000004,2.0,-2.0,2.0,-2.0,0.1625882549845615,2.0,0.8374117450154384,-2.0,2.0,2.0
2008-06-13,2.0,-2.0,-0.9830791204364026,-2.0,-2.0,-2.0,2.0,2.0,1.9830791204364029,-2.0,2.0,2.0
2008-06-20,2.0,-2.0,2.0,-2.0,-2.0,-2.0,0.6511062902715206,2.0000000000000004,0.348893709728479,-2.0,2.0,2.0
2008-06-27,2.0,-2.0,-1.7610448470470912,-2.0,-2.0,-0.007314881150165814,2.0,2.0,-2.0,0.7683597281972568,2.0,2.0
2008-07-04,2.0,-2.0,1.0773969674765123,-2.0,-2.0,-0.07739696747651274,2.0000000000000004,2.0000000000000004,-2.0,-2.0,2.0,2.0
2008-07-11,2.0,-2.0,2.0,-2.0,-2.0,2.0,-0.5898036747341601,1.9999999999999996,-2.0,-0.8208119743609592,0.4106156490951194,2.0
2008-07-18,2.0,-2.0,1.7708790035990158,-2.0,2.0,-0.7708790035990155,-2.0,2.0,2.0,-2.0,-2.0,2.0
2008-07-25,-1.4212528717111403,-2.0,2.0,-2.0,2.0,2.0,-2.0,1.9999999999999996,2.0,-1.5787471282888599,-1.9999999999999993,2.0
2008-08-01,1.1744597991423842,-2.0,-2.0,-2.0,2.0,-0.17445979914238433,-2.0,2.0,2.0,2.0,-2.0,2.0
2008-08-08,-2.0,-2.0,-2.0,-0.26831119937630976,2.0,2.0,-2.0000000000000004,2.0,2.0,1.2683111993763092,-2.0,2.0
2008-08-15,-2.0,-2.0,-2.0,-0.8188593615929313,2.0,1.8188593615929314,-2.0,1.9999999999999991,2.0,2.0,-2.0,2.0
2008-08-22,-0.8568368976558459,-2.0,-2.0,-1.6664803342698837,2.0,1.52331723192573,-2.0,2.0,2.0,2.0,-2.0,2.0
2008-08-29,-2.0,-2.0,-2.0,-0.7786075108581827,2.0,1.778607510858182,-2.0,2.0,2.0,2.0,-2.0,2.0
2008-09-05,-1.3327827503642309,-2.0,-0.7735395559186552,-2.0,2.0,1.1063223062828866,-2.0,1.9999999999999996,2.0,2.0,-2.0,2.0
2008-09-12,1.4165308932031766,-2.0000000000000013,-0.4165308932031759,-2.0,2.0,-2.0,-2.0,2.0,2.0,2.0,-2.0,2.0
2008-09-19,-2.0,-1.9999999999999998,0.6807386421455381,-2.0,2.0,0.3192613578544618,-2.0000000000000004,2.0,2.0,2.0,-2.0,2.0
2008-09-26,-2.0,-2.0,2.0,-1.6028080680039412,-1.3971919319960584,2.0,-2.0,2.0,2.0,2.0,-2.0,2.0
2008-10-03,-2.0,2.0,2.0,-2.0,-1.8674583125222866,2.0,-1.1325416874777137,-2.0,2.0,2.0,-2.0,2.0
2008-10-10,-2.0,2.0,2.0,1.9815444049559716,-0.9815444049559722,2.0,-1.9999999999999996,-2.0,2.0,2.0,-2.0,-2.0
2008-10-17,-2.0,-0.8044405174006695,2.0,2.0000000000000004,-2.0,1.8044405174006692,-2.000000000000001,-2.0,2.0,2.0,-2.0,2.0
2008-10-24,-2.0,-1.4247389087382059,1.9999999999999998,1.8062911641137764,2.0,-1.3815522553755712,-1.9999999999999998,-2.0,2.0,2.0,-2.0,2.0
