,DBA,EPP,EWJ,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI
2007-06-15,-0.5775679873071392,2.0,-2.0,1.5775679873071398,2.0,-2.0,2.0,-2.0,2.0,-2.0,2.0,-2.0
2007-06-22,-0.9396940637004243,2.0,-2.0,1.9396940637004245,2.0,-2.0,2.0,-2.0,2.0,-2.0,2.0,-2.0
2007-06-29,-1.0954436730583494,2.0,-2.0,2.0,2.0,-2.0,1.9999999999999998,-1.9045563269416503,2.0,-2.0,2.0,-2.0
2007-07-06,-1.3656374692717328,2.0,-2.0,0.7335209127414244,2.0,-2.0,2.0,-0.3678834434696907,2.0,-2.0,2.0,-2.0
2007-07-13,2.0,2.0,-2.0,1.9999999999999998,2.0,-2.0,2.0000000000000004,-1.95912399220781,-1.0408760077921897,-2.0,2.0,-2.0000000000000004
2007-07-20,0.9929444211205519,2.0,-2.0,-1.1300845005340965,2.0,-2.0,2.0,2.0,-0.8628599205864554,-2.0,2.0,-2.0
2007-07-27,-0.8896374056545884,2.0,-2.0,-2.0,2.0,-2.0,1.9901236986028585,2.0,1.8995137070517296,-2.0,2.0,-2.0
2007-08-03,-1.4255945312429044,2.0,-2.0,-1.5744054687570952,2.0,-2.0,2.0,2.0,2.0,-2.0,2.0,-2.0
2007-08-10,-2.0,-2.0,-2.0,-0.5396027398037448,2.0,-2.0,1.9999999999999996,2.0,1.539602739803745,-2.0,2.0,2.0
2007-08-17,-2.0,-2.0,-2.0,2.0,2.0,-2.0,1.9999999999999998,-0.6117093937737604,1.6117093937737608,-2.0,2.0,2.0
2007-08-24,-2.0,-0.3280402076532257,-2.0,-2.0,2.0,-2.0,1.9999999999999993,2.0,1.328040207653227,-2.0,2.0,2.0
2007-08-31,-2.0,-0.5892966441552467,-2.0,-1.8923874750008318,2.0,-2.0,2.0,2.0,1.4816841191560786,-2.0,2.0,2.0
2007-09-07,-2.0,-0.5230385746225853,-2.0,-2.0,2.0,-1.7757267182714092,2.0000000000000004,2.0,1.2987652928939937,-2.0,2.0,2.0
2007-09-14,-2.0,0.5036676440391622,-2.0,-1.9999999999999998,2.0,2.0,2.0,-0.829454939508927,-0.6742127045302357,-2.0,2.0,2.0
2007-09-21,-0.010648551630063488,1.0106485516300638,-2.0,-2.0,2.0,2.0,1.9999999999999996,-2.0,-2.0,-2.0,2.0,2.0
2007-09-28,2.0,0.6482192663172368,-2.0,-2.0,0.35178073368276314,2.0,2.0,-2.0,-2.0,-2.0,2.0,2.0
2007-10-05,-0.2844450035249866,0.697146528940895,-2.0,-2.0000000000000004,2.0,2.0,1.9999999999999993,-2.0,-1.4127015254159074,-2.0,2.0,2.0
