,DBA,EPP,EWJ,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI
2007-06-15,2.0,-2.0,-2.0,-1.0982484036188342,-2.0,-2.0,1.9999999999999998,1.9999999999999998,1.7212122658329234,2.0,1.4185138747524357,-1.0414777369665253
2007-06-22,2.0,1.9999999999999998,-2.0,-2.0,-1.4544283834302285,-2.0,1.9999999999999996,2.0,2.0,-1.545571616569771,2.0,-1.9999999999999998
2007-06-29,2.0,2.0,-2.0,-1.5297934523962067,-1.4702065476037929,-2.0,1.9999999999999996,2.0,2.0,-2.0,2.0,-1.9999999999999998
2007-07-06,2.0,2.0,-2.0,-1.5353865423714175,0.524647081849692,-2.0,1.9999999999999993,2.0000000000000004,0.010739460521726255,-2.0,2.0,-2.0000000000000004
2007-07-13,2.0,2.0000000000000004,-2.0,-1.6551963751313437,2.0,-2.0,1.9999999999999996,2.0,-1.3448036248686561,-2.0,2.0,-2.0000000000000004
2007-07-20,2.0,2.0,-2.0,-1.9346419037060745,2.0,-1.065358096293926,2.000000000000001,2.0,-2.0,-2.0,2.0,-2.0
2007-07-27,-1.124574004853282,2.0,-2.0,-2.0000000000000004,2.0,2.0,0.899151828351047,2.0,-0.7745778234977646,-2.0,2.0,-2.0
2007-08-03,-0.3687040095980354,1.7389651914696806,-2.0,-2.0,2.0,-2.0,2.0000000000000004,2.0,1.6297388181283543,-2.0,2.0,-2.0
2007-08-10,-2.0,-2.0000000000000004,-2.0,-1.0850151404287431,2.0,2.0,1.057183835400888,2.0,-0.9721686949721444,-2.0,2.0,2.0
2007-08-17,-2.0,-2.0,-2.0,0.4707201919212546,0.5292798080787449,2.0,-1.9999999999999996,2.0,-2.0,2.0,2.0,2.0
2007-08-24,0.6490467129908595,1.9999999999999998,-2.0,-2.0,0.9446288128625654,2.0,-1.1175951581937966,2.0,-2.0,-2.0,0.5239196323403722,2.0
2007-08-31,2.0,0.32568732059946987,-2.0,-2.0000000000000004,-1.2935360822151594,2.0,-0.032151238384309846,2.0,-2.0,-2.0,2.0,2.0
2007-09-07,-1.9114116102804695,1.552941837105385,-2.0,-2.0,-2.0,2.0,-0.6415302268249158,2.0,2.0,-2.0,2.0,2.0
2007-09-14,1.9384368586191216,2.0000000000000004,-2.0,-2.0,0.4152796223772907,2.0,0.6462835190035874,-2.0,-2.0,-2.0,2.0,2.0
